기간,자치구,다문화가구,총계,내국인(출생),내국인(귀화),외국인(결혼이민자),외국인(기타)
2020,합계,"69,790","187,239","101,818","43,447","31,527","10,447"
,종로구,"1,135","3,006","1,733",520,622,131
,중구,"1,282","3,375","1,845",673,643,214
,용산구,"2,109","5,794","3,562",704,"1,324",204
,성동구,"2,146","5,866","3,478","1,059","1,127",202
,광진구,"2,728","6,839","3,642","1,737","1,157",303
,동대문구,"2,418","6,442","3,616","1,434","1,124",268
,중랑구,"2,513","6,953","4,280","1,319","1,151",203
,성북구,"2,256","6,560","4,191","1,067","1,089",213
,강북구,"2,014","5,762","3,654","1,010",930,168
,도봉구,"1,569","4,660","3,017",784,702,157
,노원구,"1,926","5,921","3,990",791,985,155
,은평구,"2,794","8,270","5,179","1,469","1,323",299
,서대문구,"1,827","5,292","3,300",861,962,169
,마포구,"2,139","6,008","3,717",892,"1,234",165
,양천구,"2,500","7,076","4,170","1,538","1,110",258
,강서구,"3,766","10,421","6,099","2,190","1,718",414
,구로구,"7,482","18,198","6,630","6,849","2,717","2,002"
,금천구,"4,554","10,773","4,013","4,026","1,729","1,005"
,영등포구,"6,486","15,457","4,929","5,789","2,428","2,311"
,동작구,"2,484","6,405","3,466","1,648","1,011",280
,관악구,"4,399","10,633","5,068","3,293","1,672",600
,서초구,"1,832","5,707","4,034",518,"1,047",108
,강남구,"2,103","6,432","4,526",589,"1,176",141
,송파구,"3,047","8,712","5,503","1,457","1,491",261
,강동구,"2,281","6,677","4,176","1,230","1,055",216
