시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,위도,경도
천사노인요양원,A0007,(노인) 노인요양시설,노인의료복지시설,자치구,김샛별,1150000000,강서구,서울특별시 강서구 강서로45다길 30-22,37.5468646404276,126.833755739395
강서구립봉제산노인복지센터,A0922,(노인) 노인복지관(소규모),노인여가복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12,37.5417817549284,126.851334454737
우리모두데이케어센터,A1074,(노인) 재가노인복지시설,재가노인복지시설,자치구,김기철,1150000000,강서구,서울특별시 강서구 화곡로63가길 92,37.5618271977316,126.849770968231
한마음방문요양센터,A1153,(노인) 재가노인복지시설,재가노인복지시설,자치구,이은점,1150000000,강서구,서울특별시 강서구 초록마을로14길 44 (화곡동),37.5411772566529,126.848067939395
참사랑재가노인지원센터,A1193,(노인) 재가노인복지시설,재가노인복지시설,자치구,조병기,1150000000,강서구,서울특별시 강서구 곰달래로 852,37.535823564228,126.837099683573
호선실버센터,A1926,(노인) 노인요양시설,노인의료복지시설,자치구,배국원,1150000000,강서구,서울특별시 강서구 수명로2길 96-0,37.5512812278262,126.82782940871
서울시립강서노인종합복지관,A2771,(노인) 노인복지관,노인여가복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85,37.5583036129195,126.847549697067
가양5데이케어센터,A2870,(노인) 재가노인복지시설,재가노인복지시설,자치구,조인영,1150000000,강서구,서울특별시 강서구 양천로57길 36,37.5637652876927,126.854757483574
서울시니어스타워㈜강서본부,A3022,(노인) 노인복지주택,노인주거복지시설,자치구,김영채,1150000000,강서구,서울특별시 강서구 공항대로 315 (등촌동),37.5586536915184,126.842749581724
강서노인복지관데이케어센터,A4373,(노인) 재가노인복지시설,재가노인복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85,37.5583206231319,126.847485324053
봄날실버센터,A4600,(노인) 노인요양시설,노인의료복지시설,자치구,김미숙,1150000000,강서구,서울특별시 강서구 금낭화로 39봄날실버센터,37.5690820731239,126.811490454738
시니어스너싱홈,A4602,(노인) 노인요양시설,노인의료복지시설,자치구,김동숙,1150000000,강서구,서울특별시 강서구 화곡로68길 102,37.5572038004141,126.859318225902
서울시니어스타워(주)가양본부,A4603,(노인) 노인복지주택,노인주거복지시설,자치구,박경숙,1150000000,강서구,서울특별시 강서구 화곡로68길 102 (등촌동,37.5572718018551,126.859200208532
한마음노인전문요양원,A4615,(노인) 노인요양시설,노인의료복지시설,자치구,이은점,1150000000,강서구,서울특별시 강서구 초록마을로14길 44 (화곡동),37.5412112848917,126.848089397066
